start,end,duration,total_rain
2018-08-12 13:07:00,2018-08-13 00:01:00,669,360.009
2018-08-13 15:54:00,2018-08-13 16:11:00,32,10.001999999999999
2018-08-13 17:31:00,2018-08-13 19:59:00,163,23.298
2018-08-13 22:38:00,2018-08-13 23:29:00,66,36.663000000000004
2018-08-24 00:44:00,2018-08-24 02:21:00,112,26.656000000000002
2018-08-24 09:00:00,2018-08-24 09:51:00,66,56.651
2018-08-27 06:28:00,2018-08-27 08:40:00,147,46.69
2018-08-27 10:06:00,2018-08-27 11:17:00,86,13.314
2018-08-27 15:33:00,2018-08-27 15:59:00,41,33.332
2018-08-30 03:08:00,2018-08-30 08:41:00,348,133.317
2018-08-30 09:51:00,2018-08-30 11:26:00,110,49.994999999999976
2018-08-30 13:50:00,2018-08-30 14:40:00,65,16.666000000000004
2018-09-07 03:23:00,2018-09-07 10:04:00,416,396.66600000000005
2018-09-07 15:55:00,2018-09-07 18:07:00,147,23.313
2018-09-08 06:49:00,2018-09-08 08:34:00,120,33.346
2018-09-11 04:27:00,2018-09-11 13:53:00,581,253.29999999999995
2018-09-12 08:02:00,2018-09-12 09:19:00,92,10.025000000000002
2018-09-14 23:51:00,2018-09-15 00:10:00,34,39.998
2018-09-20 12:04:00,2018-09-20 13:40:00,111,19.985
2018-09-21 09:40:00,2018-09-21 10:49:00,84,63.34400000000001
2018-09-21 19:56:00,2018-09-21 21:09:00,88,23.357999999999997
2018-09-21 23:39:00,2018-09-22 01:13:00,109,23.321999999999996
2018-09-22 09:14:00,2018-09-22 09:36:00,37,26.662
2018-09-22 20:29:00,2018-09-22 21:31:00,77,16.679
2018-10-02 05:55:00,2018-10-02 07:26:00,106,23.345000000000006
2018-10-02 08:39:00,2018-10-02 11:45:00,201,46.635000000000005
2018-10-06 22:16:00,2018-10-07 03:17:00,316,76.65
2018-10-21 22:43:00,2018-10-21 23:52:00,84,13.344
2018-10-23 00:30:00,2018-10-23 01:52:00,97,20.002000000000002
2018-10-23 03:00:00,2018-10-23 05:31:00,166,36.659000000000006
2018-10-23 09:31:00,2018-10-23 10:21:00,65,13.335
2018-10-26 06:14:00,2018-10-26 07:28:00,89,43.327999999999996
2018-10-26 12:12:00,2018-10-26 12:30:00,33,16.666
2018-10-28 01:34:00,2018-10-28 03:53:00,154,49.97
2018-10-29 17:48:00,2018-10-30 04:22:00,649,73.284
2018-11-02 14:22:00,2018-11-02 15:29:00,82,19.996999999999996
2018-11-10 18:23:00,2018-11-10 20:57:00,169,20.006
2018-11-11 02:38:00,2018-11-11 04:58:00,155,36.64
2018-11-12 12:54:00,2018-11-12 15:49:00,190,59.986
2018-11-12 16:52:00,2018-11-12 18:12:00,95,19.985000000000003
2018-11-29 01:59:00,2018-11-29 04:22:00,158,53.31600000000001
2018-11-29 06:32:00,2018-11-29 09:17:00,180,20.035999999999998
2018-11-29 10:46:00,2018-11-29 15:38:00,307,56.676
2018-11-29 17:43:00,2018-11-29 19:44:00,136,53.322
2018-12-01 10:34:00,2018-12-01 13:23:00,184,53.370000000000005
2018-12-01 19:46:00,2018-12-01 20:26:00,55,10.007000000000001
2018-12-02 05:34:00,2018-12-02 08:48:00,209,19.955999999999996
2018-12-02 11:31:00,2018-12-02 13:18:00,122,29.994
2018-12-02 14:42:00,2018-12-02 17:21:00,174,16.668
2018-12-03 04:31:00,2018-12-03 05:36:00,80,19.984
2018-12-06 06:36:00,2018-12-06 09:22:00,181,26.637
2018-12-06 19:42:00,2018-12-06 22:14:00,167,66.67200000000001
2018-12-07 11:00:00,2018-12-07 18:41:00,476,96.63500000000002
2018-12-07 19:43:00,2018-12-07 22:48:00,200,46.67699999999999
2018-12-08 04:34:00,2018-12-08 09:17:00,298,119.98300000000002
2018-12-08 10:23:00,2018-12-08 12:22:00,134,30.001
2018-12-08 14:12:00,2018-12-08 16:04:00,127,36.634
2018-12-08 19:19:00,2018-12-08 19:38:00,34,16.667
2018-12-20 01:46:00,2018-12-20 02:57:00,86,10.026
2018-12-21 00:43:00,2018-12-21 01:35:00,67,10.007000000000001
2018-12-21 03:43:00,2018-12-21 04:51:00,83,19.996
2018-12-21 12:51:00,2018-12-22 00:03:00,687,153.337
2018-12-29 12:51:00,2018-12-29 17:10:00,274,63.309000000000005
2018-12-31 05:49:00,2018-12-31 07:44:00,130,16.634999999999998
2019-01-07 18:38:00,2019-01-07 20:49:00,146,39.985
2019-01-08 00:35:00,2019-01-08 03:34:00,194,50.027999999999984
2019-01-12 08:02:00,2019-01-12 08:22:00,35,10.005
2019-01-12 10:06:00,2019-01-12 10:36:00,45,10.003
2019-01-12 11:43:00,2019-01-12 12:35:00,67,26.67
2019-01-15 02:28:00,2019-01-15 03:02:00,49,20.003
2019-01-16 21:31:00,2019-01-17 00:14:00,178,29.987
2019-01-21 06:00:00,2019-01-21 06:38:00,53,16.661
2019-01-25 21:27:00,2019-01-25 22:50:00,98,23.342000000000006
2019-01-26 05:53:00,2019-01-26 06:44:00,66,20.006
2019-01-26 17:00:00,2019-01-27 01:41:00,536,76.65200000000002
2019-01-27 04:18:00,2019-01-27 05:54:00,111,19.965000000000003
2019-01-27 08:15:00,2019-01-27 10:00:00,120,33.325
2019-01-27 11:16:00,2019-01-27 21:30:00,629,99.928
2019-02-04 09:17:00,2019-02-04 09:54:00,52,13.327
2019-02-04 15:33:00,2019-02-04 17:06:00,108,13.34
2019-02-04 19:47:00,2019-02-04 21:05:00,93,13.356000000000003
2019-02-06 07:22:00,2019-02-06 09:39:00,152,43.315
2019-02-06 10:59:00,2019-02-06 13:55:00,191,19.947
2019-02-07 05:55:00,2019-02-07 12:04:00,384,70.03
2019-02-08 02:58:00,2019-02-08 03:22:00,39,16.663
2019-02-08 13:10:00,2019-02-08 18:09:00,314,43.357
2019-02-08 19:24:00,2019-02-09 04:48:00,579,139.996
2019-02-09 12:47:00,2019-02-09 15:30:00,178,59.99100000000001
2019-02-10 09:06:00,2019-02-10 19:15:00,624,113.288
2019-02-19 03:27:00,2019-02-19 04:48:00,96,23.32
2019-03-03 04:08:00,2019-03-03 05:21:00,88,26.679000000000002
2019-03-03 19:10:00,2019-03-04 01:02:00,367,113.34199999999998
2019-03-04 06:58:00,2019-03-04 10:00:00,197,73.32700000000001
2019-03-04 18:47:00,2019-03-04 22:57:00,265,40.01
2019-03-06 11:19:00,2019-03-06 14:52:00,228,66.67500000000001
2019-03-06 16:31:00,2019-03-06 23:12:00,416,133.31799999999998
2019-03-07 09:43:00,2019-03-07 11:15:00,107,16.671
2019-03-09 03:45:00,2019-03-09 07:19:00,229,86.688
2019-03-10 01:05:00,2019-03-10 01:41:00,51,13.329000000000002
2019-03-12 12:17:00,2019-03-13 02:24:00,862,263.349
2019-03-13 04:45:00,2019-03-13 07:32:00,182,26.651999999999997
2019-03-13 08:38:00,2019-03-13 10:21:00,118,23.324999999999996
2019-03-13 11:35:00,2019-03-13 13:01:00,101,23.337000000000003
2019-03-14 09:50:00,2019-03-14 19:49:00,614,123.28800000000001
2019-03-15 11:08:00,2019-03-15 14:47:00,234,86.70800000000001
2019-03-16 14:01:00,2019-03-16 23:34:00,588,223.30400000000003
2019-03-17 03:56:00,2019-03-17 05:21:00,100,16.650000000000002
2019-03-17 19:50:00,2019-03-17 20:46:00,71,33.336
2019-03-24 23:16:00,2019-03-25 01:02:00,121,36.671
2019-04-26 10:21:00,2019-04-26 11:36:00,90,66.67099999999999
2019-04-27 03:11:00,2019-04-27 04:25:00,89,13.335
2019-04-27 17:29:00,2019-04-27 17:57:00,43,23.333
2019-04-29 03:13:00,2019-04-29 05:08:00,130,16.625
2019-05-03 15:40:00,2019-05-03 16:37:00,72,13.337999999999997
2019-05-04 12:19:00,2019-05-04 13:50:00,106,19.976
2019-05-07 23:18:00,2019-05-08 03:03:00,240,43.33800000000001
2019-05-08 21:25:00,2019-05-09 05:30:00,500,129.971
2019-05-09 18:26:00,2019-05-09 19:09:00,58,29.998
2019-05-10 00:17:00,2019-05-10 00:44:00,42,26.657999999999998
2019-05-10 10:09:00,2019-05-10 10:26:00,32,10.004000000000001
2019-05-17 09:09:00,2019-05-17 11:20:00,146,53.327
2019-05-21 16:57:00,2019-05-21 19:32:00,170,26.652
2019-05-21 22:46:00,2019-05-21 23:39:00,68,13.346999999999998
2019-05-22 07:06:00,2019-05-22 10:12:00,201,86.63600000000001
2019-05-26 03:28:00,2019-05-26 04:38:00,85,13.32
2019-05-26 06:04:00,2019-05-26 07:26:00,97,19.985999999999997
2019-05-26 14:24:00,2019-05-26 21:28:00,439,100.01499999999999
2019-05-28 01:16:00,2019-05-28 02:45:00,104,16.671
2019-05-30 05:55:00,2019-05-30 07:56:00,136,23.316
2019-05-30 12:48:00,2019-05-30 14:17:00,104,13.328
2019-05-30 23:09:00,2019-05-31 02:14:00,200,66.66199999999999
2019-06-08 00:29:00,2019-06-08 02:03:00,109,40.015
2019-06-08 18:22:00,2019-06-08 19:16:00,69,66.66
2019-06-10 07:51:00,2019-06-10 09:54:00,138,20.033
2019-06-11 03:49:00,2019-06-11 05:15:00,101,13.336000000000002
2019-06-12 02:16:00,2019-06-12 04:12:00,131,100.0
2019-06-12 17:05:00,2019-06-12 18:28:00,98,26.665999999999997
