start,end,duration
2011-02-16 16:07:00,2011-03-09 08:22:00,29835.0
2011-03-10 02:46:00,2011-03-10 03:52:00,126.0
2011-03-11 02:07:00,2011-03-14 03:56:00,4489.0
2011-03-15 11:16:00,2011-03-25 12:58:00,14562.0
2011-03-26 02:55:00,2011-03-30 14:26:00,6511.0
2011-04-01 12:44:00,2011-04-01 15:41:00,237.0
2011-04-02 05:11:00,2011-04-03 05:36:00,1525.0
2011-04-03 18:57:00,2011-04-05 10:57:00,2460.0
2011-04-06 14:11:00,2011-04-12 02:04:00,7973.0
2011-04-13 21:52:00,2011-05-03 13:53:00,28381.0
2011-05-04 03:37:00,2011-05-14 10:56:00,14899.0
2011-05-16 01:47:00,2011-05-16 08:44:00,477.0
2011-05-17 18:06:00,2011-05-19 02:00:00,1974.0
2011-05-19 16:40:00,2011-05-22 10:53:00,4033.0
2011-05-23 03:18:00,2011-05-24 01:05:00,1367.0
2011-05-25 02:17:00,2011-05-26 14:47:00,2250.0
2011-05-27 22:25:00,2011-05-28 13:48:00,983.0
2011-05-29 13:07:00,2011-05-29 14:47:00,160.0
2011-05-30 11:52:00,2011-05-31 12:51:00,1559.0
2011-06-01 03:37:00,2011-06-06 04:15:00,7298.0
2011-06-07 06:17:00,2011-06-08 14:45:00,2008.0
2011-06-09 18:23:00,2011-06-11 13:28:00,2645.0
2011-06-12 03:18:00,2011-06-13 18:15:00,2397.0
2011-06-14 13:55:00,2011-06-16 16:07:00,3072.0
2011-06-17 21:57:00,2011-06-18 04:21:00,444.0
2011-06-19 03:41:00,2011-06-19 06:07:00,206.0
2011-06-20 07:16:00,2011-06-22 17:42:00,3566.0
2011-06-23 09:50:00,2011-06-29 20:59:00,9369.0
2011-06-30 22:13:00,2011-07-02 04:02:00,1849.0
2011-07-03 10:37:00,2011-07-06 16:44:00,4747.0
2011-07-07 07:08:00,2011-07-08 03:13:00,1265.0
2011-07-08 21:54:00,2011-07-09 13:13:00,979.0
2011-07-10 05:56:00,2011-07-13 04:30:00,4294.0
2011-07-14 23:05:00,2011-07-15 02:45:00,280.0
2011-07-15 19:10:00,2011-07-17 02:50:00,1960.0
2011-07-18 07:15:00,2011-07-18 12:22:00,367.0
2011-07-19 08:06:00,2011-07-21 19:57:00,3651.0
2011-07-25 07:39:00,2011-08-05 06:12:00,15813.0
2011-08-05 19:59:00,2011-08-06 16:39:00,1300.0
2011-08-07 15:58:00,2011-08-08 10:55:00,1197.0
2011-08-09 23:57:00,2011-08-10 08:30:00,573.0
2011-08-12 17:22:00,2011-08-14 11:14:00,2572.0
2011-08-15 11:35:00,2011-08-17 07:14:00,2679.0
2011-08-17 20:24:00,2011-08-18 22:12:00,1608.0
2011-08-20 01:18:00,2011-08-21 15:05:00,2327.0
2011-08-22 13:01:00,2011-08-23 23:41:00,2140.0
2011-08-24 15:23:00,2011-08-24 19:34:00,311.0
2011-08-25 09:18:00,2011-08-26 20:17:00,2159.0
2011-08-31 01:45:00,2011-09-04 11:03:00,6378.0
2011-09-05 14:24:00,2011-09-06 14:08:00,1484.0
2011-09-09 04:08:00,2011-09-11 01:07:00,2759.0
2011-09-11 14:24:00,2011-09-11 16:11:00,167.0
2011-09-12 05:36:00,2011-09-12 12:17:00,461.0
2011-09-13 06:31:00,2011-09-13 21:52:00,981.0
2011-09-15 15:31:00,2011-09-17 04:06:00,2255.0
2011-09-17 17:48:00,2011-09-18 05:29:00,761.0
2011-09-18 22:10:00,2011-09-19 14:15:00,1025.0
2011-09-20 04:04:00,2011-09-20 09:44:00,400.0
2011-09-22 22:15:00,2011-10-05 14:16:00,18301.0
2011-10-08 01:21:00,2011-10-08 09:10:00,529.0
2011-10-08 22:17:00,2011-10-09 14:29:00,1032.0
2011-10-12 06:55:00,2011-10-18 02:12:00,8417.0
2011-10-20 04:09:00,2011-10-21 10:52:00,1903.0
2011-10-22 01:25:00,2011-10-26 10:54:00,6389.0
2011-10-27 00:30:00,2011-11-03 02:29:00,10259.0
2011-11-03 15:39:00,2011-11-23 05:12:00,28233.0
2011-11-23 19:22:00,2011-11-25 10:08:00,2386.0
2011-11-28 07:40:00,2011-11-30 00:31:00,2511.0
2011-12-01 01:49:00,2011-12-01 12:49:00,720.0
2011-12-02 23:25:00,2011-12-03 06:51:00,506.0
2011-12-05 11:44:00,2011-12-07 07:07:00,2663.0
2011-12-08 10:57:00,2011-12-08 14:43:00,286.0
2011-12-09 16:55:00,2011-12-12 08:58:00,3903.0
2011-12-13 02:44:00,2011-12-13 05:08:00,204.0
2011-12-14 03:16:00,2011-12-14 11:07:00,531.0
2011-12-15 18:00:00,2011-12-15 21:20:00,260.0
2011-12-16 15:26:00,2011-12-20 00:09:00,4903.0
2011-12-20 17:12:00,2011-12-20 23:36:00,444.0
2011-12-21 13:43:00,2011-12-22 06:29:00,1066.0
2011-12-22 21:30:00,2011-12-23 17:35:00,1265.0
2011-12-24 18:10:00,2011-12-25 01:15:00,485.0
2011-12-25 16:24:00,2011-12-27 05:32:00,2288.0
2011-12-27 21:30:00,2011-12-28 15:56:00,1166.0
2011-12-30 05:31:00,2012-01-01 02:41:00,2770.0
2012-01-02 13:39:00,2012-01-03 09:18:00,1239.0
2012-01-06 05:48:00,2012-01-07 03:16:00,1348.0
2012-01-07 18:04:00,2012-01-08 00:30:00,446.0
2012-01-08 13:44:00,2012-01-09 07:23:00,1119.0
2012-01-10 05:36:00,2012-01-12 08:13:00,3097.0
2012-01-13 00:23:00,2012-01-18 14:05:00,8082.0
2012-01-19 05:30:00,2012-01-19 10:37:00,367.0
2012-01-21 04:13:00,2012-01-21 05:35:00,142.0
2012-01-22 12:57:00,2012-01-27 05:37:00,6820.0
2012-01-27 19:59:00,2012-01-29 01:10:00,1811.0
2012-01-29 23:48:00,2012-02-04 09:25:00,7837.0
2012-02-04 23:05:00,2012-02-12 03:29:00,10404.0
2012-02-12 17:19:00,2012-02-16 10:25:00,5406.0
2012-02-17 05:31:00,2012-02-18 06:09:00,1538.0
2012-02-19 09:54:00,2012-02-20 21:05:00,2171.0
2012-02-21 19:00:00,2012-02-22 16:13:00,1333.0
2012-02-23 11:24:00,2012-02-24 12:25:00,1561.0
2012-02-25 01:55:00,2012-02-27 07:00:00,3245.0
2012-02-27 21:00:00,2012-03-07 13:31:00,12571.0
2012-03-08 15:16:00,2012-03-09 22:48:00,1952.0
2012-03-10 14:01:00,2012-03-17 23:21:00,10700.0
2012-03-19 08:58:00,2012-03-31 05:33:00,17135.0
2012-03-31 18:55:00,2012-04-01 09:02:00,907.0
2012-04-02 04:29:00,2012-04-06 07:20:00,5991.0
2012-04-07 14:03:00,2012-04-09 04:43:00,2380.0
2012-04-11 16:52:00,2012-04-12 16:25:00,1473.0
2012-04-13 17:21:00,2012-04-14 22:40:00,1819.0
2012-04-15 16:08:00,2012-04-20 06:38:00,6690.0
2012-04-20 20:10:00,2012-04-21 14:51:00,1181.0
2012-04-22 13:31:00,2012-04-24 11:24:00,2813.0
2012-04-25 04:33:00,2012-04-25 22:55:00,1162.0
2012-04-27 04:11:00,2012-04-28 08:03:00,1732.0
2012-04-28 22:53:00,2012-04-29 01:50:00,237.0
